RBT-80 per-season series, conventional population, all nine arms.
Committed so sections 1, 3 and 5 of the report are re-derivable by
someone other than the author (adversary finding 7; RBT-86).
No genomes are shipped: these are aggregate per-season numbers only.

## mean_lifetime_score by season  (section 3: yield = seeded - control)

season A:seeded   A:control  A:drift    B:seeded   B:control  B:drift    C:seeded   C:control  C:drift   
   135     1.1190     0.6868     0.0024     0.8909     0.6561     0.0900     1.0206     0.7015     0.1440
   136     1.0294     0.6698     0.0070     0.9232     0.7339     0.0876     1.0243     0.7066     0.1496
   137     1.0590     0.6850     0.0106     0.9910     0.7259     0.0907     1.0366     0.6798     0.1538
   138     1.0318     0.6751     0.0228     1.0204     0.6490     0.0904     1.0039     0.7172     0.1443
   139     1.0117     0.6488     0.0130     1.0238     0.6615     0.0952     0.9732     0.6537     0.1408
   140     1.0375     0.6876     0.0283     0.9910     0.6520     0.0774     0.9950     0.6428     0.1628
   141     1.0030     0.6755     0.0712     1.0126     0.6615     0.0692     1.0077     0.7346     0.1458
   142     1.0149     0.6666     0.0461     0.9835     0.6604     0.0759     1.0187     0.7619     0.1283
   143     0.9993     0.7525     0.0617     1.0279     0.6460     0.1047     1.0284     0.7653     0.1064
   144     0.9901     0.8909     0.0523     0.9822     0.6720     0.1356     1.0110     0.6731     0.1018
   145     0.9926     0.7829     0.0820     1.0299     0.6543     0.1146     1.0042     0.6977     0.1341
   146     1.0046     0.7819     0.1200     1.0295     0.7046     0.1365     1.0057     0.7185     0.1775
   147     0.9756     0.7724     0.1478     1.0369     0.7490     0.1351     1.0804     0.6938     0.1798
   148     0.9607     0.7070     0.1708     1.0284     0.7690     0.1366     1.1342     0.6916     0.1929
   149     0.9258     0.7230     0.1806     1.0152     0.7227     0.1346     1.0948     0.6429     0.2034
   150     0.8952     0.6778     0.1840     1.0149     0.6853     0.1361     1.0894     0.6431     0.2105
   151     0.9141     0.7149     0.1607     0.9990     0.6780     0.1599     1.0709     0.6418     0.1997
   152     0.9358     0.7182     0.1495     1.0060     0.6666     0.1503     1.0598     0.6349     0.1892
