population	name	generation	age	evals	fitness	parents
conventional	ce95	8	1	1	-0.5201	c0-53
conventional	ce96	66	59	59	0.6339	c0-57,c0-27
conventional	ce97	7	0	0	0.0	c0-13
conventional	ce98	8	1	1	-0.6166	c0-41,c0-32
conventional	ce99	66	59	59	1.2611	c0-4
conventional	ce100	13	6	6	0.2062	c0-25
conventional	ce101	66	59	59	0.4344	c0-6
conventional	ce102	9	2	2	0.2718	c0-0
conventional	ce103	8	1	1	-0.4611	c0-27,c0-4
conventional	ce104	66	59	59	0.4877	c0-11
conventional	ce105	66	59	59	1.3208	c0-32
conventional	ce106	66	59	59	0.485	c0-2
holistic	he74	67	59	59	0.9204	he62
holistic	he75	67	59	59	1.2403	h0-20
holistic	he76	11	3	3	-0.0	h0-2,h0-20
conventional	ce107	8	0	0	0.0	c0-46
conventional	ce108	22	14	14	0.3561	c0-17,c0-57
conventional	ce109	67	59	59	0.6121	ce106
conventional	ce110	67	59	59	1.6315	c0-11,c0-32
conventional	ce111	10	2	2	0.0385	ce80,ce105
conventional	ce112	9	1	1	-0.3807	c0-6
conventional	ce113	67	59	59	0.6678	c0-25,ce106
conventional	ce114	67	59	59	1.2453	ce85
holistic	he77	68	59	59	0.8172	he73
holistic	he78	16	7	7	0.1179	h0-28
holistic	he79	68	59	59	0.4323	he68
holistic	he80	68	59	59	0.8006	he62
conventional	ce115	68	59	59	0.7612	c0-13
conventional	ce116	68	59	59	0.8726	c0-11,ce114
conventional	ce117	10	1	1	-0.7301	c0-57
conventional	ce118	68	59	59	1.1639	c0-41,ce114
conventional	ce119	68	59	59	1.1027	c0-42
conventional	ce120	11	2	2	-0.0106	c0-59
conventional	ce121	10	1	1	-0.461	ce105
conventional	ce122	68	59	59	0.8047	c0-2,ce74
conventional	ce123	68	59	59	1.2261	c0-6
holistic	he81	69	59	59	1.1585	he62,h0-2
holistic	he82	69	59	59	0.8863	he75
holistic	he83	69	59	59	0.8052	he73,he62
conventional	ce124	69	59	59	1.1905	ce114
conventional	ce125	69	59	59	0.6444	c0-26
conventional	ce126	18	8	8	0.1779	ce92
