# RBT-101 adversary probe A: `new` against reproduction depth and against a non-posture placebo, baseline arms only (no terrain change), pseudo-onsets T every 20 seasons, P at T + 160
seed	fauna	T	|P|	new	new_other	depth	births
forage-3	holistic	400	60	0.217	0.217	4.23	263
forage-3	conventional	400	60	0.083	0.050	4.15	287
forage-3	holistic	420	60	0.317	0.233	3.67	257
forage-3	conventional	420	60	0.117	0.050	3.98	284
forage-4	holistic	100	60	0.383	0.050	4.48	217
forage-4	conventional	100	60	0.050	0.117	4.08	288
forage-4	holistic	120	60	0.417	0.033	5.23	257
forage-4	conventional	120	60	0.050	0.133	4.48	320
forage-4	holistic	140	60	0.467	0.033	4.58	218
forage-4	conventional	140	60	0.033	0.083	4.30	284
forage-4	holistic	160	60	0.217	0.017	4.40	210
forage-4	conventional	160	60	0.033	0.067	4.20	274
forage-4	holistic	180	60	0.217	0.033	5.08	254
forage-4	conventional	180	60	0.050	0.050	4.40	313
forage-4	holistic	200	60	0.233	0.050	4.47	237
forage-4	conventional	200	60	0.067	0.083	4.17	305
forage-4	holistic	220	60	0.233	0.050	3.68	209
forage-4	conventional	220	60	0.067	0.067	4.03	288
forage-4	holistic	240	60	0.300	0.150	4.52	243
forage-4	conventional	240	60	0.033	0.100	4.48	304
forage-4	holistic	260	60	0.267	0.183	4.42	226
forage-4	conventional	260	60	0.067	0.050	4.05	300
forage-4	holistic	280	60	0.183	0.183	4.05	203
forage-4	conventional	280	60	0.100	0.050	4.25	285
forage-4	holistic	300	60	0.050	0.183	4.78	247
forage-4	conventional	300	60	0.083	0.033	4.27	287
forage-4	holistic	320	60	0.067	0.233	4.30	230
forage-4	conventional	320	60	0.067	0.083	4.47	287
forage-4	holistic	340	60	0.083	0.233	4.25	201
forage-4	conventional	340	60	0.067	0.050	4.27	275
forage-4	holistic	360	60	0.150	0.200	4.50	224
forage-4	conventional	360	60	0.100	0.033	4.77	272
forage-4	holistic	380	60	0.150	0.200	4.72	221
forage-4	conventional	380	60	0.117	0.017	4.60	268
forage-4	holistic	400	60	0.117	0.183	4.18	196
forage-4	conventional	400	60	0.167	0.050	4.85	268
forage-4	holistic	420	60	0.100	0.217	5.03	215
forage-4	conventional	420	60	0.117	0.050	5.03	263
forage-7	holistic	100	60	0.300	0.067	3.87	245
forage-7	conventional	100	60	0.167	0.067	4.13	284
forage-7	holistic	120	60	0.350	0.150	4.25	282
forage-7	conventional	120	60	0.217	0.083	4.52	316
forage-7	holistic	140	60	0.383	0.233	4.80	295
forage-7	conventional	140	60	0.217	0.083	4.40	318
forage-7	holistic	160	60	0.250	0.200	4.17	245
forage-7	conventional	160	60	0.183	0.133	3.87	317
forage-7	holistic	180	60	0.217	0.283	4.60	264
forage-7	conventional	180	60	0.150	0.100	4.28	347
forage-7	holistic	200	60	0.117	0.283	4.78	283
forage-7	conventional	200	60	0.133	0.067	4.47	334
forage-7	holistic	220	60	0.050	0.200	4.28	244
forage-7	conventional	220	60	0.117	0.083	4.30	304
forage-7	holistic	240	60	0.067	0.283	4.78	246
forage-7	conventional	240	60	0.067	0.117	4.62	314
forage-7	holistic	260	60	0.150	0.200	4.57	267
forage-7	conventional	260	60	0.033	0.150	4.28	316
forage-7	holistic	280	60	0.150	0.183	4.03	240
forage-7	conventional	280	60	0.017	0.100	4.25	298
forage-7	holistic	300	60	0.117	0.117	4.18	234
forage-7	conventional	300	60	0.067	0.117	4.17	287
forage-7	holistic	320	60	0.117	0.050	4.72	258
forage-7	conventional	320	60	0.050	0.117	4.08	276
forage-7	holistic	340	60	0.100	0.050	3.92	243
forage-7	conventional	340	60	0.083	0.167	3.98	275
forage-7	holistic	360	60	0.050	0.067	3.95	243
forage-7	conventional	360	60	0.033	0.167	4.10	286
forage-7	holistic	380	60	0.033	0.067	4.32	255
forage-7	conventional	380	60	0.067	0.200	4.15	279
forage-7	holistic	400	60	0.033	0.050	4.17	245
forage-7	conventional	400	60	0.050	0.233	4.17	265
forage-7	holistic	420	60	0.017	0.067	3.80	238
forage-7	conventional	420	60	0.067	0.200	4.50	265
# holistic: 162 windows over 10 seeds; within-seed: new ~ depth slope +0.0530/event r +0.23;  new ~ births slope +0.0917/100 births r +0.22;  new ~ new_other r +0.12;  depth ~ births r +0.59
#   range of depth 3.63-5.48, births 196-334, new 0.000-0.467; mean new 0.135
# conventional: 162 windows over 10 seeds; within-seed: new ~ depth slope +0.0187/event r +0.08;  new ~ births slope +0.0160/100 births r +0.06;  new ~ new_other r +0.06;  depth ~ births r +0.33
#   range of depth 3.58-5.03, births 216-367, new 0.000-0.333; mean new 0.077
