season	population	alive	energy_head	ran	starved	aged	net_survivors	net_all_ub	food	work
157	conventional	60	14.8768	60	0	0	0.7130	0.7130	1.2500	0.5370
158	holistic	60	12.7041	59	1	0	1.0184	0.9996	1.2034	0.1850
158	conventional	60	15.9078	60	0	0	1.2810	1.2810	1.8167	0.5356
159	holistic	60	11.0377	55	2	3	0.5532	0.5343	0.7455	0.1923
159	conventional	60	16.0440	60	0	0	0.3862	0.3862	0.9167	0.5305
160	holistic	60	10.8718	58	1	1	0.6559	0.6478	0.8448	0.1889
160	conventional	60	16.4150	59	1	0	0.6345	0.6210	1.1695	0.5350
161	holistic	60	10.3832	58	1	1	0.5730	0.5650	0.7586	0.1857
161	conventional	60	16.6439	58	1	1	1.0661	1.0398	1.6034	0.5373
162	holistic	60	10.8508	58	2	0	0.7418	0.7177	0.9310	0.1892
162	conventional	60	16.6841	60	0	0	0.2902	0.2902	0.8333	0.5431
163	holistic	60	10.5511	57	1	2	0.5971	0.5870	0.7895	0.1924
163	conventional	60	14.7919	56	1	3	0.4398	0.4280	0.9821	0.5423
164	holistic	60	11.0598	58	1	1	1.2901	1.2642	1.4828	0.1927
164	conventional	60	15.1661	58	2	0	0.6500	0.6241	1.1897	0.5397
165	holistic	60	10.7344	59	0	1	0.8624	0.8624	1.0508	0.1885
165	conventional	60	14.6232	56	3	1	0.5727	0.5208	1.0893	0.5166
166	holistic	60	11.3278	60	0	0	0.8434	0.8434	1.0333	0.1899
166	conventional	60	14.0795	59	0	1	0.2709	0.2709	0.7966	0.5257
167	holistic	60	11.5008	57	2	1	1.2689	1.2228	1.4561	0.1872
167	conventional	60	14.3318	56	2	2	1.6254	1.5699	2.1607	0.5353
168	holistic	60	11.4682	56	3	1	0.9202	0.8753	1.1071	0.1870
168	conventional	60	14.8240	58	1	1	0.9464	0.9289	1.4828	0.5364
169	holistic	60	11.9684	59	1	0	0.7599	0.7502	0.9492	0.1892
169	conventional	60	14.4192	58	1	1	0.6639	0.6545	1.1897	0.5258
170	holistic	60	12.4811	60	0	0	0.7626	0.7626	0.9500	0.1873
170	conventional	60	14.8887	58	2	0	0.7452	0.7195	1.2586	0.5134
171	holistic	60	13.2602	59	1	0	1.0436	1.0291	1.2373	0.1937
171	conventional	60	13.9077	56	1	3	1.0251	1.0066	1.5357	0.5107
172	holistic	60	13.7433	60	0	0	0.7331	0.7331	0.9167	0.1836
172	conventional	60	14.3659	60	0	0	0.7081	0.7081	1.2333	0.5252
173	holistic	60	14.4780	60	0	0	0.9848	0.9848	1.1667	0.1819
173	conventional	60	15.0809	59	1	0	0.9798	0.9651	1.5085	0.5287
174	holistic	60	15.0308	59	1	0	0.8183	0.8027	1.0000	0.1818
174	conventional	60	15.6125	58	2	0	0.8128	0.7816	1.3448	0.5320
175	holistic	60	14.7582	59	0	1	0.6967	0.6967	0.8814	0.1846
175	conventional	60	15.8493	60	0	0	0.4867	0.4867	1.0167	0.5299
176	holistic	60	15.4699	60	0	0	0.9617	0.9617	1.1500	0.1883
