generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
32	1090482286		0.542682	0.402073	1.142706	4	14.618000	1.000000	0.558714	0.840065	5	15.337000				
33	1869323647		0.530974	0.389376	1.177076	4	14.618000	0.836101	0.392281	0.111123	5	15.337000				
34	219282322		0.565862	0.411748	1.401991	4	14.618000	0.772901	0.444474	0.379264	5	15.337000				
35	806955776		0.567801	0.405319	1.243519	4	14.618000	0.857885	0.516754	0.253853	5	15.337000	0.340959	4	46	50
36	970696014		0.522995	0.394019	1.134031	4	14.618000	0.746042	0.417145	0.344349	5	15.337000				
37	500360530		0.522601	0.428951	1.449688	7	15.340000	1.000000	0.430147	2.337969	5	15.337000				
38	565067881		0.557561	0.449763	1.541798	6	14.785000	0.772666	0.548096	0.660008	5	15.337000				
39	1481756848		0.557561	0.477687	1.541798	6	14.785000	0.717405	0.448097	0.538362	5	15.337000				
40	2063683993		0.555832	0.482283	1.362704	10	15.340000	0.671497	0.281263	0.280185	5	15.337000	0.320815	1	49	50
41	461990486		0.563866	0.494046	1.438406	12	15.340000	0.904979	0.286097	0.101244	5	15.337000				
42	2049375695		0.638124	0.533606	1.311593	5	14.560000	0.952048	0.514681	0.136283	5	15.337000				
43	357638967		0.590296	0.417966	1.379981	5	14.560000	0.944145	0.540095	0.076092	5	15.337000				
44	212536380		0.503417	0.425078	1.390816	5	14.560000	0.672533	0.389072	0.433662	5	15.337000				
45	141291942		0.535478	0.421160	1.192887	6	14.690000	0.926119	0.500443	0.098464	5	15.337000	0.311641	1	49	50
46	528491971		0.512789	0.416535	1.343435	5	14.560000	0.792704	0.452814	0.086690	5	15.337000				
47	693659083		0.532558	0.438103	1.192853	6	14.690000	0.684107	0.422050	0.188281	5	15.337000				
48	1758897677		0.513855	0.415632	1.098234	5	14.560000	0.757183	0.534399	0.326376	5	15.337000				
49	1486036988		0.516565	0.407851	1.098234	5	14.560000	1.000000	0.425671	0.898464	5	15.337000				
50	1051700166		0.518993	0.403044	1.490225	8	15.340000	0.722888	0.416848	0.338510	5	15.337000	0.306426	6	44	50
51	2023663010		0.573401	0.451031	1.106105	6	14.668000	0.881196	0.465136	0.131736	5	15.337000				
52	455686267		0.580572	0.362113	0.801015	6	14.668000	0.949906	0.571655	0.021250	5	15.337000				
53	79244160		0.550524	0.389899	1.302484	6	14.668000	0.956313	0.531074	0.041752	5	15.337000				
54	1831304163		0.570187	0.413859	1.243892	6	14.668000	0.742178	0.473742	0.438249	5	15.337000				
55	741358474		0.675061	0.426720	0.800373	6	14.668000	0.773742	0.499653	0.146049	5	15.337000	0.488272	24	26	50
56	95329795		0.502638	0.379672	0.898063	2	14.101000	0.947051	0.423741	0.022469	5	15.337000				
57	1422393202		0.661606	0.438213	0.852182	6	14.668000	0.607989	0.494227	0.717126	5	15.337000				
58	2019506977		0.567297	0.373873	0.908187	6	14.668000	0.948656	0.461626	0.023485	5	15.337000				
59	2078453557		0.539353	0.395530	0.794138	12	15.340000	0.948656	0.453829	0.023485	5	15.337000				
60	1682066917		0.603374	0.407896	0.522025	12	15.340000	0.969056	0.401278	0.694313	5	15.337000	0.552137	23	27	50
61	49595890		0.513823	0.388825	1.246051	12	15.340000	0.926741	0.496983	0.435915	5	15.337000				
62	1875759929		0.572671	0.498627	1.469404	12	15.340000	0.858092	0.407917	0.072176	5	15.337000				
63	1124898284		0.591637	0.433440	1.412632	12	15.340000	0.675348	0.453068	0.528090	5	15.337000				
64	105272522		0.526710	0.419067	1.415662	8	15.340000	0.921203	0.408247	1.181052	5	15.337000				
65	850105636		0.508241	0.436252	1.399574	8	15.340000	0.881276	0.531606	2.384128	5	15.337000	0.469250	8	42	50
66	75418902		0.521556	0.447985	1.270785	12	15.340000	0.679114	0.501474	0.567879	5	15.337000				
67	1805187508		0.530868	0.456547	1.371920	4	15.241000	0.869490	0.558248	0.214558	5	15.337000				
68	1653697735		0.632857	0.475508	1.218129	8	15.340000	0.543343	0.490423	0.429474	5	15.337000				
69	800902536		0.554840	0.465918	1.268119	8	15.340000	1.000000	0.462231	1.387859	5	15.337000				
70	1835978270		0.554728	0.448203	1.384983	8	15.340000	0.547394	0.500001	1.326908	5	15.337000	0.467457	10	40	50
71	1475237144		0.500241	0.428533	1.411067	8	15.340000	0.961382	0.555154	0.863661	5	15.337000				
72	289414753		0.503764	0.420663	1.379221	8	15.340000	0.975785	0.797381	0.192237	5	15.337000				
73	1558387193		0.530087	0.430372	1.275112	8	15.340000	0.743949	0.506099	0.141604	5	15.337000				
74	562446711		0.594740	0.446508	0.967633	12	15.340000	0.914062	0.431290	0.036093	5	15.337000				
75	1374158491		0.626089	0.486644	1.200649	14	15.340000	0.894807	0.512665	0.055027	5	15.337000	0.573807	26	24	50
76	1614422272		0.563417	0.437498	1.159914	12	15.340000	0.886782	0.475360	0.111995	5	15.337000				
77	1135391184		0.666258	0.359792	0.862526	12	15.340000	1.000000	0.507407	0.472914	5	15.337000				
78	468848802		0.684732	0.333698	0.813065	12	15.340000	0.936818	0.615771	1.225456	5	15.337000				
79	2138144831		0.706949	0.319177	0.669542	12	15.340000	0.987379	0.568974	0.224325	5	15.337000				
80	1927772698		0.586909	0.321307	1.036904	12	15.340000	0.662082	0.458079	0.546490	5	15.337000	0.376123	5	45	50
81	512017034		0.526283	0.392951	1.273471	10	15.340000	0.894553	0.102049	0.096510	5	15.337000				
82	87470675		0.516100	0.438201	1.575186	4	15.340000	1.000000	0.322712	10.480701	5	15.337000				
