# RBT-101 positive-control table, seed 804: C0 alive at 139, P alive at 300; from runs/RBT-90/forage-804 as restored from ckpt/rbt-90-804 at b0bbcda141 (345/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors
P	holistic	he574	1.013513	1.013513	1	2.013513	2.200009	1.513513	1.606762	-	-	he304
P	holistic	he575	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he282
P	holistic	he577	0.000000	0.000000	1	1.000000	1.096331	0.500000	0.548166	-	-	he282
P	holistic	he580	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he256,he282,he287,he295,he296,he311
P	holistic	he581	0.349302	0.349302	1	1.349302	3.438777	0.849302	1.894040	-	-	he256,he282,he287,he295,he296,he311,he329
P	holistic	he583	0.939484	0.939484	1	1.939484	3.172470	1.439484	2.055977	-	-	he265,he276,he284,he289,he295,he329
P	holistic	he584	2.002547	1.846520	1	3.002547	4.038406	2.502547	2.942464	-	-	he265,he276,he284,he289,he295,he304,he329
P	holistic	he585	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he282
P	holistic	he588	2.549687	4.743835	1	3.549687	6.067974	3.049687	5.405904	-	-	he256,he260,he268,he287,he289,he320,he334
P	holistic	he591	0.588214	0.588214	1	1.588214	3.350211	1.088214	1.969212	-	-	he265,he276,he284,he289,he295,he304,he329
P	holistic	he592	0.000000	0.000000	0	-	-	-	-	-	-	he256,he265,he287,he295,he296,he311,he329
P	holistic	he593	0.000000	0.000000	0	-	-	-	-	-	-	he256,he287,he295,he296,he311
P	holistic	he594	0.000000	0.000000	1	1.000000	1.467698	0.500000	0.733849	-	-	he256,he265,he276,he284,he289,he295,he296,he329
P	holistic	he595	0.000000	0.000000	0	-	-	-	-	-	-	he256,he265,he287,he295,he296,he311,he329
C0	conventional	ce286	0.000000	33.008842	-	-	-	-	-	-	-	-
C0	conventional	ce287	0.000000	20.391057	-	-	-	-	-	-	-	-
C0	conventional	ce288	0.000000	18.883230	-	-	-	-	-	-	-	-
C0	conventional	ce293	0.000000	23.193440	-	-	-	-	-	-	-	-
C0	conventional	ce296	0.000000	31.401349	-	-	-	-	-	-	-	-
C0	conventional	ce299	0.000000	19.667969	-	-	-	-	-	-	-	-
C0	conventional	ce300	0.000000	24.739185	-	-	-	-	-	-	-	-
C0	conventional	ce301	0.000000	23.519515	-	-	-	-	-	-	-	-
C0	conventional	ce303	0.000000	23.836290	-	-	-	-	-	-	-	-
C0	conventional	ce304	0.000000	19.967620	-	-	-	-	-	-	-	-
C0	conventional	ce305	1.564033	16.496561	-	-	-	-	-	-	-	-
C0	conventional	ce306	0.000000	13.320612	-	-	-	-	-	-	-	-
C0	conventional	ce307	0.000000	33.334190	-	-	-	-	-	-	-	-
C0	conventional	ce309	0.000000	15.401280	-	-	-	-	-	-	-	-
C0	conventional	ce322	0.000000	17.581334	-	-	-	-	-	-	-	-
C0	conventional	ce325	0.138461	42.512918	-	-	-	-	-	-	-	-
C0	conventional	ce327	1.287770	15.219938	-	-	-	-	-	-	-	-
C0	conventional	ce329	0.000000	26.399707	-	-	-	-	-	-	-	-
C0	conventional	ce330	0.138461	36.723679	-	-	-	-	-	-	-	-
C0	conventional	ce334	0.000000	18.438457	-	-	-	-	-	-	-	-
C0	conventional	ce336	0.138461	28.025714	-	-	-	-	-	-	-	-
C0	conventional	ce338	0.000000	15.534712	-	-	-	-	-	-	-	-
C0	conventional	ce339	0.467021	49.614758	-	-	-	-	-	-	-	-
C0	conventional	ce340	0.000000	39.154691	-	-	-	-	-	-	-	-
C0	conventional	ce341	0.000000	31.383053	-	-	-	-	-	-	-	-
C0	conventional	ce342	0.000000	21.823834	-	-	-	-	-	-	-	-
C0	conventional	ce345	0.000000	41.063914	-	-	-	-	-	-	-	-
C0	conventional	ce346	0.000000	23.289693	-	-	-	-	-	-	-	-
C0	conventional	ce348	0.000000	32.817126	-	-	-	-	-	-	-	-
C0	conventional	ce349	0.000000	22.654214	-	-	-	-	-	-	-	-
C0	conventional	ce352	0.000000	24.250109	-	-	-	-	-	-	-	-
C0	conventional	ce354	0.093865	19.598769	-	-	-	-	-	-	-	-
C0	conventional	ce355	0.000000	38.460182	-	-	-	-	-	-	-	-
C0	conventional	ce356	0.000000	31.253363	-	-	-	-	-	-	-	-
C0	conventional	ce357	0.000000	25.889387	-	-	-	-	-	-	-	-
C0	conventional	ce362	0.000000	30.573962	-	-	-	-	-	-	-	-
C0	conventional	ce363	0.000000	30.958710	-	-	-	-	-	-	-	-
C0	conventional	ce365	0.000000	31.166420	-	-	-	-	-	-	-	-
C0	conventional	ce368	0.000000	17.454939	-	-	-	-	-	-	-	-
C0	conventional	ce370	0.000000	42.988054	-	-	-	-	-	-	-	-
C0	conventional	ce371	0.000000	26.194543	-	-	-	-	-	-	-	-
C0	conventional	ce372	0.000000	31.107469	-	-	-	-	-	-	-	-
C0	conventional	ce373	0.000000	25.393014	-	-	-	-	-	-	-	-
C0	conventional	ce375	0.138461	36.201586	-	-	-	-	-	-	-	-
C0	conventional	ce376	0.000000	30.248588	-	-	-	-	-	-	-	-
C0	conventional	ce377	0.432641	17.492440	-	-	-	-	-	-	-	-
C0	conventional	ce378	0.000000	34.591691	-	-	-	-	-	-	-	-
C0	conventional	ce379	0.000000	20.656547	-	-	-	-	-	-	-	-
C0	conventional	ce380	1.637202	14.795038	-	-	-	-	-	-	-	-
C0	conventional	ce381	0.000000	35.120712	-	-	-	-	-	-	-	-
C0	conventional	ce386	0.000000	17.875636	-	-	-	-	-	-	-	-
C0	conventional	ce388	0.000000	16.781023	-	-	-	-	-	-	-	-
C0	conventional	ce391	0.043616	26.089676	-	-	-	-	-	-	-	-
C0	conventional	ce392	0.000000	33.573778	-	-	-	-	-	-	-	-
C0	conventional	ce393	0.000000	36.758547	-	-	-	-	-	-	-	-
C0	conventional	ce394	0.000000	25.939275	-	-	-	-	-	-	-	-
C0	conventional	ce395	0.000000	25.698405	-	-	-	-	-	-	-	-
C0	conventional	ce396	0.000000	44.520115	-	-	-	-	-	-	-	-
C0	conventional	ce397	0.211380	34.031701	-	-	-	-	-	-	-	-
C0	conventional	ce398	0.000000	15.137469	-	-	-	-	-	-	-	-
P	conventional	ce589	0.000000	25.313098	1	1.000000	26.313098	0.500000	25.813098	0.684085	0.678108	ce348,ce391
P	conventional	ce591	0.000000	42.654065	1	1.000000	43.654065	0.500000	43.154065	0.955347	0.855908	ce396
P	conventional	ce593	0.000000	26.322302	1	1.000000	25.322302	0.500000	25.822302	1.190444	1.133454	ce371,ce373,ce375
P	conventional	ce594	2.021685	25.313393	1	3.021685	26.313393	2.521685	25.813393	-	-	ce380,ce391
P	conventional	ce596	2.021685	22.551610	1	3.021685	22.325926	2.521685	22.051610	-	-	ce380,ce391
P	conventional	ce597	0.000000	38.456999	1	1.000000	39.456999	0.500000	38.956999	-	-	ce378,ce379
P	conventional	ce600	0.000000	37.199143	1	1.000000	36.199143	0.500000	36.699143	-	-	ce379,ce380,ce392
P	conventional	ce602	0.000000	39.164400	1	1.000000	39.080126	0.500000	38.762669	-	-	ce365
P	conventional	ce605	0.000000	26.945390	1	1.000000	27.945390	0.500000	27.445390	-	-	ce373,ce375
P	conventional	ce607	0.000000	26.434215	1	1.000000	27.434215	0.500000	26.934215	-	-	ce348,ce391
P	conventional	ce609	0.000000	37.417857	1	1.000000	38.417857	0.500000	37.917857	-	-	ce379,ce380,ce392
P	conventional	ce610	0.000000	48.095933	1	1.000000	49.095933	0.500000	48.595933	-	-	ce396
P	conventional	ce613	0.000000	40.995076	1	1.000000	41.995076	0.500000	41.495076	-	-	ce392
P	conventional	ce614	0.000000	39.694960	1	1.000000	38.694960	0.500000	39.194960	-	-	ce396
P	conventional	ce615	0.000000	24.727429	1	1.000000	25.727429	0.500000	25.227429	-	-	ce371,ce373,ce375
P	conventional	ce616	0.000000	22.082935	1	1.000000	22.119495	0.500000	21.619495	-	-	ce373,ce375
P	conventional	ce619	0.000000	45.930860	1	1.000000	46.930860	0.500000	46.430860	-	-	ce396
P	conventional	ce621	0.000000	24.917451	1	1.000000	25.917451	0.500000	25.417451	-	-	ce370,ce378,ce396
P	conventional	ce623	0.000000	32.615761	1	1.000000	32.370257	0.500000	32.493009	-	-	ce365
P	conventional	ce624	0.000000	21.321225	1	1.000000	20.321225	0.500000	20.821225	-	-	ce373,ce375
P	conventional	ce625	0.000000	50.729244	1	1.000000	51.729244	0.500000	51.229244	-	-	ce365,ce396
P	conventional	ce627	2.765583	25.218376	1	3.765583	24.350748	3.265583	24.718376	-	-	ce379,ce380
P	conventional	ce628	0.000000	42.988127	1	1.000000	42.052989	0.500000	42.488127	-	-	ce396
P	conventional	ce629	0.000000	45.046577	1	1.000000	46.046577	0.500000	45.546577	-	-	ce355,ce365,ce375
P	conventional	ce630	0.000000	28.829309	1	1.000000	27.829309	0.500000	28.329309	-	-	ce394
P	conventional	ce632	0.274630	26.456206	1	1.274630	27.456206	0.774630	26.956206	-	-	ce373,ce375
P	conventional	ce635	0.000000	27.966792	1	1.000000	28.687606	0.500000	28.187606	-	-	ce371,ce373,ce375
P	conventional	ce638	0.000000	36.869825	1	1.000000	35.869825	0.500000	36.369825	-	-	ce392
P	conventional	ce640	0.000000	24.654273	1	1.000000	25.654273	0.500000	25.154273	-	-	ce370,ce378,ce396
P	conventional	ce641	0.000000	38.184309	1	1.000000	37.184309	0.500000	37.684309	-	-	ce379,ce380,ce392
