population	name	born	body
conventional	ce275	76	064cde1b95c2
conventional	ce276	76	064cde1b95c2
holistic	he228	77	423a51b44c1d
holistic	he229	77	1410c24535c5
holistic	he230	77	d014093bd565
holistic	he231	77	aaeeb8708596
conventional	ce277	77	064cde1b95c2
conventional	ce278	77	064cde1b95c2
conventional	ce279	77	064cde1b95c2
conventional	ce280	77	064cde1b95c2
holistic	he232	78	1a50e3add4d9
holistic	he233	78	788a54cd247d
holistic	he234	78	9ba50552f70c
holistic	he235	78	95d801c2ac64
holistic	he236	78	18732cd3491f
conventional	ce281	78	064cde1b95c2
conventional	ce282	78	064cde1b95c2
holistic	he237	79	4198e66b0a36
holistic	he238	79	3111f8a0c7ad
holistic	he239	79	8769856c8d34
holistic	he240	79	814d5af559eb
holistic	he241	79	cf9066698363
holistic	he242	79	9843076cc6d4
conventional	ce283	79	064cde1b95c2
conventional	ce284	79	064cde1b95c2
conventional	ce285	79	064cde1b95c2
conventional	ce286	79	064cde1b95c2
conventional	ce287	79	064cde1b95c2
conventional	ce288	79	064cde1b95c2
conventional	ce289	79	064cde1b95c2
conventional	ce290	79	064cde1b95c2
holistic	he243	80	1a792db22e3a
holistic	he244	80	d15171366d37
holistic	he245	80	faf71ddfd0c5
holistic	he246	80	8731f1e09e2c
holistic	he247	80	b77815d992a5
holistic	he248	80	67a0b3668481
holistic	he249	80	0d8abe562752
holistic	he250	80	149bb2d24331
conventional	ce291	80	064cde1b95c2
conventional	ce292	80	064cde1b95c2
conventional	ce293	80	064cde1b95c2
conventional	ce294	80	064cde1b95c2
conventional	ce295	80	064cde1b95c2
conventional	ce296	80	064cde1b95c2
holistic	he251	81	85dd941f018d
holistic	he252	81	788a54cd247d
holistic	he253	81	9ba50552f70c
conventional	ce297	81	064cde1b95c2
conventional	ce298	81	064cde1b95c2
conventional	ce299	81	064cde1b95c2
conventional	ce300	81	064cde1b95c2
holistic	he254	82	1d9dbed947bd
holistic	he255	82	2b60ac6e10b3
holistic	he256	82	ac9018c6844d
holistic	he257	82	40147620e966
conventional	ce301	82	064cde1b95c2
