population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
holistic	h0-37	-19	4.129176	4.129176	3	3	13	0	0	4.129176	0	2.480853	0
holistic	h0-38	-43	0.388887	0.388887	1	1	2	0	0	0	0.388887	0	0
holistic	h0-39	-27	0	7.726246	0	16	2	7.726246	0	0	0	1.336912	0
holistic	h0-40	-51	0.903552	2.945915	2	8	4	1.026908	0	0	1.919007	0	0
holistic	h0-41	-28	0	0	0	0	4	0	0	0	0	0	0
holistic	h0-42	-29	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-43	-37	0	0	0	0	6	0	0	0	0	0	0
holistic	h0-44	-2	0	4.832312	0	2	1	0	0	0	4.832312	0	0
holistic	h0-45	-38	2.591595	28.932384	3	24	3	28.932384	0	0	0	0	1.025568
holistic	h0-46	-40	2.081685	24.241579	2	15	5	24.241579	0	0	0	1.684859	0
holistic	h0-47	-46	0	0	0	0	0	0	0	0	0	0	1.669504
holistic	h0-48	-6	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-49	-58	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-50	-46	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-51	-9	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-52	-29	1.575580	2.268903	2	3	8	0	0	2.268903	0	0	10.917240
holistic	h0-53	-25	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-54	-49	0	0.193696	0	4	8	0	0	0.193696	0	0.760198	0
holistic	h0-55	-5	0.204342	11.629663	2	69	6	0	0	0	11.629663	3.110790	0
holistic	h0-56	-55	0	0.013099	0	1	2	0	0	0	0.013099	0.196303	0
holistic	h0-57	-43	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-58	-16	0	1.319308	0	1	1	1.319308	0	0	0	0	0
holistic	h0-59	-15	0	0	0	0	1	0	0	0	0	2.047634	0
holistic	he61	0	0	0	0	0	0	0	0	0	0	0	0
conventional	c0-0	-26	0	25.215844	0	14	7	3.536687	4.700856	13.484360	3.493941	0	0
conventional	c0-1	-35	0	21.558920	0	14	7	0.588295	2.346065	11.827924	6.796636	0	0
conventional	c0-2	-47	0	37.837067	0	14	7	8.130342	3.218614	13.961783	12.526328	0	0
conventional	c0-3	-1	0	35.261508	0	14	7	2.156114	7.852726	14.313724	10.938944	0	0
conventional	c0-4	-25	0	25.594531	0	14	7	4.191692	2.588559	9.820556	8.993724	0	0
conventional	c0-5	-9	0	35.697546	0	14	7	6.741959	8.088776	8.727659	12.139152	0	0
conventional	c0-6	-46	0	22.542731	0	14	7	4.846938	0.615674	11.921331	5.158788	0	0
conventional	c0-7	-14	0	20.327339	0	14	7	2.563686	4.240868	5.203271	8.319514	0	0
conventional	c0-8	-52	0	52.836269	0	14	7	5.154480	4.469078	30.514453	12.698258	0	0
conventional	c0-9	-15	0	19.495937	0	14	7	3.641395	3.558205	7.817703	4.478634	0	0
conventional	c0-10	-7	0	17.171537	0	14	7	1.280587	3.578409	9.501304	2.811237	0	0
conventional	c0-11	-44	0	30.180959	0	14	7	5.790484	0.286889	14.650938	9.452648	0	0
conventional	c0-12	-10	0	23.354613	0	14	7	3.919612	3.997489	10.127522	5.309990	0	0
conventional	c0-13	-51	0	22.822786	0	14	7	3.353454	1.778583	11.327124	6.363625	0	0
conventional	c0-14	-43	0	16.320494	0	14	7	1.827732	1.472163	8.532422	4.488177	0	0
conventional	c0-15	-58	0	36.652383	0	14	7	3.492871	6.256430	13.912165	12.990917	0	0
conventional	c0-16	-11	0	34.717072	0	14	7	12.676871	6.242109	8.715340	7.082752	0	0
conventional	c0-18	-30	0	39.558315	0	14	7	2.668741	4.792626	19.283524	12.813424	0	0
conventional	c0-19	-36	0	39.997421	0	14	7	7.039663	2.759349	18.010134	12.188275	0	0
conventional	c0-20	-22	0	26.770033	0	14	7	2.941081	5.110925	12.758839	5.959188	0	0
conventional	c0-21	-27	0	24.482486	0	14	7	6.025792	2.477822	7.698954	8.279918	0	0
