population	name	generation	age	evals	fitness	parents
conventional	ce481	226	59	59	0.5912	ce423
holistic	he415	227	59	59	0.6599	he364
holistic	he416	171	3	3	0.0	he315
holistic	he417	228	59	59	0.8319	he324
conventional	ce482	170	1	1	-0.5133	ce469
conventional	ce483	216	47	47	0.2796	ce402
holistic	he418	229	59	59	0.3433	he417
holistic	he419	173	3	3	-0.0006	he377
conventional	ce484	173	3	3	0.0885	ce476
holistic	he420	174	3	3	-0.0203	he367
conventional	ce485	230	59	59	0.6803	ce481
conventional	ce486	173	2	2	-0.1152	ce399,ce398
holistic	he421	175	3	3	-0.0027	he364,he329
conventional	ce487	231	59	59	0.3919	ce394,ce453
conventional	ce488	179	6	6	0.0956	ce386
holistic	he422	194	20	20	0.2132	he385,he305
conventional	ce489	233	59	59	0.434	ce387
conventional	ce490	175	1	1	-0.5546	ce446,ce422
conventional	ce491	233	59	59	0.6176	ce460
holistic	he423	176	1	1	-0.4447	he314
conventional	ce492	234	59	59	0.7531	ce417
conventional	ce493	176	1	1	-0.2629	ce427,ce478
conventional	ce494	234	59	59	1.117	ce450
holistic	he424	235	59	59	0.5375	he315
conventional	ce495	177	1	1	-0.6608	ce485
holistic	he425	236	59	59	1.3916	he387
holistic	he426	180	3	3	-0.0604	he316
conventional	ce496	179	2	2	0.0301	ce413
conventional	ce497	177	0	0	0.0	ce390,ce414
conventional	ce498	178	1	1	-0.5628	ce448,ce422
holistic	he427	237	59	59	0.9932	he323,he361
conventional	ce499	181	3	3	0.1146	ce494
conventional	ce500	237	59	59	0.8088	ce398,ce393
conventional	ce501	237	59	59	1.1525	ce414
conventional	ce502	181	2	2	-0.0131	ce414
conventional	ce503	238	59	59	0.9302	ce458
conventional	ce504	180	1	1	-0.4954	ce485,ce438
conventional	ce505	239	59	59	0.8499	ce481
conventional	ce506	223	43	43	0.2395	ce423
holistic	he428	240	59	59	0.6317	he323,he427
conventional	ce507	182	1	1	-0.2732	ce430
conventional	ce508	241	59	59	1.2309	ce414
conventional	ce509	183	1	1	-0.6104	ce416
conventional	ce510	241	59	59	0.7653	ce421
conventional	ce511	182	0	0	0.0	ce428,ce429
conventional	ce512	216	33	33	0.2401	ce416
conventional	ce513	242	59	59	0.8385	ce501
conventional	ce514	242	59	59	1.2461	ce450
conventional	ce515	243	59	59	0.5565	ce460
conventional	ce516	243	59	59	0.8705	ce458
holistic	he429	244	59	59	0.6229	he328
holistic	he430	244	59	59	0.9673	he394
conventional	ce517	244	59	59	0.9019	ce422
conventional	ce518	186	0	0	0.0	ce454
conventional	ce519	246	59	59	1.2352	ce429
conventional	ce520	189	2	2	-0.008	ce494
conventional	ce521	191	3	3	0.0275	ce438
conventional	ce522	191	3	3	0.0324	ce510,ce500
conventional	ce523	249	59	59	0.8929	ce460,ce472
conventional	ce524	249	59	59	0.8162	ce478
holistic	he431	213	22	22	0.2122	he359,he405
conventional	ce525	194	2	2	-0.2186	ce508,ce438
conventional	ce526	251	59	59	0.4734	ce423
conventional	ce527	251	59	59	0.4065	ce472,ce415
conventional	ce528	252	59	59	0.8087	ce501
conventional	ce529	252	59	59	0.2838	ce428
conventional	ce530	252	59	59	0.7766	ce422
holistic	he432	253	59	59	1.1646	he390
holistic	he433	253	59	59	1.4345	he406
holistic	he434	253	59	59	1.9232	he339
holistic	he435	210	16	16	0.3386	he407
conventional	ce531	253	59	59	0.7973	ce508
holistic	he436	254	59	59	0.9306	he387
holistic	he437	198	3	3	-0.0573	he325
holistic	he438	254	59	59	0.8985	he376
conventional	ce532	254	59	59	0.9866	ce421,ce481
holistic	he439	255	59	59	1.7931	he370
holistic	he440	255	59	59	0.7966	he397
conventional	ce533	256	59	59	1.0642	ce494
conventional	ce534	212	15	15	0.2222	ce491
conventional	ce535	198	1	1	-0.6548	ce483,ce487
holistic	he441	257	59	59	0.2871	he367
conventional	ce536	257	59	59	0.532	ce479
conventional	ce537	257	59	59	0.7677	ce481
conventional	ce538	257	59	59	0.8195	ce501,ce454
conventional	ce539	198	0	0	0.0	ce500,ce438
holistic	he442	258	59	59	1.0414	he428,he418
holistic	he443	202	3	3	-0.0021	he363,he394
holistic	he444	202	3	3	-0.0139	he427
conventional	ce540	258	59	59	0.8411	ce510
conventional	ce541	258	59	59	0.8962	ce491
conventional	ce542	199	0	0	0.0	ce481,ce454
conventional	ce543	258	59	59	0.6691	ce462
holistic	he445	259	59	59	1.2839	he406
holistic	he446	259	59	59	1.0117	he337
conventional	ce544	204	4	4	0.0997	ce469,ce464
holistic	he447	260	59	59	1.9293	he392,he370
holistic	he448	261	59	59	0.6651	he435,he390
conventional	ce545	206	4	4	0.1004	ce531,ce489
holistic	he449	262	59	59	0.6307	he435
holistic	he450	262	59	59	0.4092	he399,he440
holistic	he451	262	59	59	0.8405	he438,he365
holistic	he452	263	59	59	2.2941	he411
conventional	ce546	205	1	1	-0.7217	ce538,ce512
holistic	he453	206	1	1	-0.5693	he387
conventional	ce547	206	1	1	-0.3924	ce483
holistic	he454	265	59	59	0.9481	he439
conventional	ce548	265	59	59	0.3357	ce491
holistic	he455	266	59	59	0.6573	he425
holistic	he456	220	13	13	0.1851	he410
conventional	ce549	266	59	59	0.7636	ce501,ce538
conventional	ce550	214	7	7	0.1498	ce536
conventional	ce551	266	59	59	0.9213	ce462,ce528
holistic	he457	211	3	3	0.0	he428,he363
holistic	he458	267	59	59	1.6395	he432
holistic	he459	211	3	3	-0.0015	he363
conventional	ce552	265	57	57	0.278	ce459
holistic	he460	213	4	4	0.0933	he397,he424
holistic	he461	212	3	3	-0.0096	he411,he425
holistic	he462	268	59	59	0.8311	he425
holistic	he463	269	59	59	0.5901	he385
holistic	he464	213	3	3	-0.057	he377
conventional	ce553	269	59	59	0.9842	ce501,ce510
holistic	he465	270	59	59	0.7688	he432
holistic	he466	270	59	59	0.9032	he407
conventional	ce554	270	59	59	0.7704	ce503
conventional	ce555	213	2	2	-0.1358	ce549
holistic	he467	219	7	7	0.1412	he434,he445
holistic	he468	271	59	59	0.7898	he387
holistic	he469	216	3	3	-0.0042	he413
conventional	ce556	222	9	9	0.1685	ce523,ce489
conventional	ce557	214	1	1	-0.7175	ce508,ce515
conventional	ce558	215	2	2	-0.17	ce460
holistic	he470	273	59	59	0.7217	he436
holistic	he471	217	3	3	-0.0825	he418
holistic	he472	273	59	59	1.0753	he413,he448
holistic	he473	216	2	2	-0.1565	he448,he399
holistic	he474	273	59	59	1.8663	he447
conventional	ce559	225	11	11	0.2758	ce472
holistic	he475	274	59	59	0.978	he405
holistic	he476	274	59	59	1.21	he446
conventional	ce560	216	1	1	-0.4352	ce481
conventional	ce561	216	1	1	-0.2599	ce475
conventional	ce562	274	59	59	0.8388	ce465
conventional	ce563	217	2	2	-0.2031	ce532
conventional	ce564	274	59	59	0.6015	ce479
holistic	he477	275	59	59	0.7432	he436
conventional	ce565	275	59	59	0.6087	ce533,ce541
conventional	ce566	227	11	11	0.178	ce481,ce531
holistic	he478	276	59	59	1.0956	he434
holistic	he479	276	59	59	2.1314	he407,he417
holistic	he480	276	59	59	1.0576	he406
conventional	ce567	217	0	0	0.0	ce538
conventional	ce568	276	59	59	0.6558	ce533
conventional	ce569	276	59	59	0.8782	ce478
conventional	ce570	218	1	1	-0.5995	ce475
holistic	he481	227	9	9	0.1721	he430
conventional	ce571	277	59	59	1.382	ce536
conventional	ce572	225	7	7	0.1935	ce559
conventional	ce573	220	2	2	0.039	ce517,ce543
holistic	he482	278	59	59	1.2499	he410
holistic	he483	278	59	59	1.1266	he430
holistic	he484	278	59	59	0.5537	he445
holistic	he485	222	3	3	0.0	he411
conventional	ce574	220	1	1	0.0	ce501
holistic	he486	279	59	59	0.6556	he418
holistic	he487	229	9	9	0.1661	he477,he458
holistic	he488	223	3	3	-0.0065	he474
conventional	ce575	221	1	1	-0.5599	ce536
holistic	he489	280	59	59	1.1047	he465,he475
holistic	he490	248	27	27	0.2222	he448
conventional	ce576	280	59	59	1.4195	ce489
conventional	ce577	280	59	59	1.2425	ce474
holistic	he491	281	59	59	1.0498	he411,he434
conventional	ce578	223	1	1	-0.6173	ce510,ce515
conventional	ce579	225	3	3	0.0119	ce478,ce532
holistic	he492	226	3	3	0.0	he475
holistic	he493	282	59	59	1.2105	he447
holistic	he494	282	59	59	1.1536	he465
conventional	ce580	282	59	59	0.7731	ce481
conventional	ce581	282	59	59	0.4821	ce513
conventional	ce582	228	5	5	0.1199	ce526
holistic	he495	283	59	59	1.3344	he480,he441
holistic	he496	283	59	59	2.688	he447
holistic	he497	283	59	59	1.785	he452
conventional	ce583	244	20	20	0.2172	ce540
conventional	ce584	283	59	59	0.7729	ce526
holistic	he498	228	3	3	0.0	he489
holistic	he499	285	59	59	1.4153	he479
conventional	ce585	228	2	2	-0.0484	ce538
conventional	ce586	228	2	2	-0.0133	ce517
conventional	ce587	285	59	59	0.4814	ce564
conventional	ce588	232	6	6	0.1747	ce485
conventional	ce589	250	24	24	0.2613	ce481
holistic	he500	238	11	11	0.2146	he468
conventional	ce590	286	59	59	0.7543	ce568,ce589
holistic	he501	287	59	59	1.381	he428
holistic	he502	287	59	59	0.5406	he449
conventional	ce591	287	59	59	0.9897	ce530
holistic	he503	288	59	59	0.9711	he458
holistic	he504	288	59	59	1.3174	he446
conventional	ce592	240	11	11	0.1872	ce531
conventional	ce593	288	59	59	0.7515	ce523,ce501
conventional	ce594	240	11	11	0.2121	ce532,ce562
holistic	he505	233	3	3	-0.0041	he463
holistic	he506	289	59	59	0.9219	he429
conventional	ce595	290	59	59	0.7688	ce503
conventional	ce596	234	2	2	-0.02	ce553,ce543
conventional	ce597	238	5	5	0.0954	ce571
holistic	he507	236	2	2	-0.0864	he448
conventional	ce598	261	27	27	0.3422	ce549
conventional	ce599	293	59	59	0.7587	ce526
conventional	ce600	237	2	2	-0.0017	ce580
conventional	ce601	241	6	6	0.1987	ce531
conventional	ce602	238	3	3	0.1749	ce519
holistic	he508	295	59	59	1.3014	he475
holistic	he509	296	59	59	1.3938	he480
holistic	he510	240	3	3	-0.0003	he438
holistic	he511	241	3	3	-0.0246	he495,he436
conventional	ce603	242	4	4	0.0905	ce536
conventional	ce604	297	59	59	0.5735	ce576
conventional	ce605	240	2	2	-0.078	ce580
holistic	he512	242	3	3	0.0	he501
conventional	ce606	241	2	2	-0.0042	ce510
conventional	ce607	241	2	2	0.0171	ce541
conventional	ce608	240	1	1	-0.7121	ce517
conventional	ce609	299	59	59	0.7597	ce530
holistic	he513	245	4	4	0.0731	he484
holistic	he514	300	59	59	1.9593	he455
conventional	ce610	246	5	5	0.1146	ce584
