RBT-107 design adversary: power of the directional (one-sided) tests the coordinator asked for, on the design's own
measured null, with its heavy tail kept, and the n each needs.
null rows (seed: A_NB co-evolved, designed) from design_power.txt: 1: +0.380 +0.027, 2: +0.006 +0.225, 3: +1.153 -0.374, 4: +0.125 +0.045, 7: -0.019 -0.108, 801: -0.034 +0.055, 804: -0.082 -0.134, 805: +0.031 +0.198, 806: +0.066 +0.081, 807: +0.000 -0.049
RMS co-evolved 0.388 (no seed 3: 0.139); designed 0.166; paired co - des 0.506 (no seed 3: 0.159); corr(co, des) across seeds -0.66
smoothing bandwidth (co-evolved, designed): 0.036, 0.074; no seed 3: 0.029, 0.064

== DES  null EMPIRICAL  d~240 as measured
   +0.00  30    0.046    0.044    0.048    0.044    0.019
   +0.00  40    0.055    0.044    0.046    0.036    0.022
   +0.15  10    0.199    0.273    0.316    0.111    0.110
   +0.15  15    0.240    0.363    0.412    0.207    0.133
   +0.15  20    0.252    0.484    0.536    0.329    0.171
   +0.15  30    0.272    0.626    0.682    0.615    0.187
   +0.15  40    0.280    0.731    0.778    0.687    0.184
   +0.20  10    0.299    0.386    0.457    0.188    0.178
   +0.20  15    0.351    0.541    0.606    0.376    0.232
   +0.20  20    0.326    0.647    0.710    0.502    0.245
   +0.20  30    0.353    0.807    0.857    0.810    0.256
   +0.20  40    0.418    0.902    0.939    0.887    0.303
   +0.27  10    0.425    0.533    0.649    0.317    0.283
   +0.27  15    0.421    0.711    0.792    0.565    0.336
   +0.27  20    0.413    0.821    0.885    0.730    0.344
   +0.27  30    0.500    0.939    0.971    0.951    0.386
   +0.27  40    0.589    0.976    0.991    0.976    0.468
   +0.35  10    0.526    0.666    0.791    0.478    0.407
   +0.35  15    0.480    0.830    0.910    0.753    0.429
   +0.35  20    0.516    0.914    0.967    0.892    0.404
   +0.35  30    0.653    0.983    0.996    0.992    0.544
   +0.35  40    0.752    0.997    0.999    0.999    0.650

== PAIRED  null EMP-NO3  scaled to d=800 (x1.83)
