population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
conventional	ce305	95	0	23.295767	0	14	7	3.088061	5.368614	9.152983	5.686109	0	0
conventional	ce306	96	0	35.014162	0	14	7	3.555123	9.306520	14.249014	7.903505	0	0
conventional	ce307	96	0	30.073806	0	14	7	6.208309	4.286719	10.110859	9.467919	0	0
holistic	he274	97	0	0	0	0	5	0	0	0	0	0	0
conventional	ce308	97	0	28.898768	0	14	7	3.695048	5.169122	14.003484	6.031114	0	0
holistic	he275	98	0	0	0	0	2	0	0	0	0	0	0
conventional	ce309	98	0	21.113119	0	14	7	1.300875	2.692616	12.167466	4.952162	0	0
holistic	he276	99	0	11.461972	0	14	18	0	2.561332	8.900640	0	1.227714	0
holistic	he277	99	0	0	0	0	3	0	0	0	0	0	0
holistic	he278	99	5.429948	6.888255	4	4	7	0	1.641601	0	5.246654	1.284737	0
holistic	he279	99	0	0	0	0	2	0	0	0	0	0	0
holistic	he280	100	0	0	0	0	1	0	0	0	0	0	0
conventional	ce310	100	0	24.011236	0	14	7	1.818183	7.806664	11.194611	3.191778	0	0
holistic	he281	101	0	4.409216	0	16	10	0	2.527480	1.881736	0	3.655386	0
holistic	he282	101	0.577893	1.306273	1	4	5	0	0	1.306273	0	0	0
conventional	ce311	101	0	18.935475	0	14	7	0.853015	3.944000	4.683541	9.454919	0	0
conventional	ce312	101	0	14.561062	0	14	7	4.507838	2.445216	3.581617	4.026391	0	0
conventional	ce313	101	0	24.567329	0	14	7	4.897765	2.804418	8.236095	8.629051	0.652724	0
conventional	ce314	102	0	39.161898	0	14	7	4.731796	7.926302	18.998029	7.505771	0	0
conventional	ce315	102	0	28.616348	0	14	7	6.689306	5.950457	6.383383	9.593202	0	0
holistic	he283	103	0	0	0	0	13	0	0	0	0	0	0
holistic	he284	103	0	0	0	0	3	0	0	0	0	0	0
holistic	he285	103	0	0.364764	0	1	6	0	0	0.364764	0	0	0
conventional	ce316	103	0	14.860154	0	14	7	0.427625	3.328698	5.551133	5.552698	0	0
conventional	ce317	103	0	29.073134	0	14	7	3.548417	5.268072	14.141811	6.114834	0	0
conventional	ce318	103	0	19.591460	0	14	7	3.653027	3.804148	7.233841	4.900444	0	0
conventional	ce319	103	0	29.825419	0	14	7	7.919767	3.158923	9.293153	9.453576	0	0
holistic	he286	104	0	0.082690	0	1	6	0	0	0.082690	0	0	0
conventional	ce320	104	0	24.198223	0	14	7	7.521045	1.473192	7.382433	7.821553	0	0
holistic	he287	105	0	0	0	0	3	0	0	0	0	0	0
conventional	ce321	105	0	27.353156	0	14	7	4.504574	3.066321	9.486839	10.295422	0	0
conventional	ce322	105	0	23.460350	0	14	7	3.880321	2.499657	7.693372	9.387000	0	0
conventional	ce323	106	0	22.047466	0	14	7	1.694712	3.346649	10.301337	6.704768	0	0
holistic	he288	107	0	0	0	0	3	0	0	0	0	0	0
conventional	ce324	107	0	26.339837	0	14	7	1.511605	7.667560	12.484172	4.676500	0	0
conventional	ce325	107	0	20.141803	0	14	7	4.186637	4.832948	7.337164	3.785054	0	0
holistic	he289	108	0	0	0	0	3	0	0	0	0	1.153037	0
conventional	ce326	108	0	24.716686	0	14	7	3.068293	1.789840	12.961041	6.897512	0	0
conventional	ce327	108	0	23.588389	0	14	7	0.257661	2.675084	14.700240	5.955404	0	0
conventional	ce328	109	0	36.085916	0	14	7	3.298997	8.971252	13.937112	9.878555	0	0
conventional	ce329	109	0	30.943288	0	14	7	5.145690	6.823451	7.392918	11.581229	1.934007	0
holistic	he290	111	0	0	0	0	3	0	0	0	0	0	0
conventional	ce330	111	0	23.887250	0	14	7	4.535530	6.259637	5.464611	7.627472	0.119335	0
conventional	ce331	111	0	13.276835	0	14	7	0.932975	3.086096	6.163241	3.094523	0	0
conventional	ce332	111	0	16.298760	0	14	7	0.654923	1.876786	6.367619	7.399432	0	0
holistic	he291	115	0	0.449919	0	6	10	0	0.150738	0.299181	0	5.779720	0
conventional	ce333	116	0	21.944865	0	14	7	5.053715	2.010510	6.442870	8.437770	0	0
conventional	ce334	117	0	14.626715	0	14	7	2.105956	3.419262	6.043149	3.058348	0.224369	0
conventional	ce335	119	0	24.186063	0	14	7	1.445909	7.023837	11.827664	3.888653	0	0
conventional	ce336	119	0	12.434926	0	14	7	2.053850	2.044854	6.941724	1.394498	0	0
conventional	ce337	120	0	24.060246	0	14	7	3.460212	3.159727	7.887518	9.552789	0	0
conventional	ce338	123	0	20.945153	0	14	7	0.081081	6.572098	8.590567	5.701407	0	0
conventional	ce339	124	0	24.084135	0	14	7	4.061508	0.603468	13.539196	5.879963	0	0
holistic	he292	125	0	0	0	0	3	0	0	0	0	0	0
conventional	ce340	126	0	24.377793	0	14	7	3.614985	2.139104	10.769384	7.854320	0	0
conventional	ce341	126	0	10.842773	0	14	7	2.121095	1.830918	4.401878	2.488882	0	0
conventional	ce342	127	0	15.762685	0	14	7	3.655823	1.138011	4.951660	6.017191	0	0
conventional	ce343	127	0	29.125080	0	14	7	6.105625	0.742437	12.128492	10.148526	0	0
conventional	ce344	127	0	20.904621	0	14	7	5.734375	3.487533	6.361769	5.320944	0	0
conventional	ce345	129	0	25.705521	0	14	7	3.581118	0.765254	10.204829	11.154320	0	0
conventional	ce346	129	0	22.192213	0	14	7	3.075796	4.646187	6.607521	7.862709	0	0
conventional	ce347	129	0	16.309895	0	14	7	1.165030	1.343500	7.497648	6.303717	0	0
holistic	he293	130	0	0	0	0	2	0	0	0	0	0	0
holistic	he294	131	0	0	0	0	2	0	0	0	0	0	0
conventional	ce348	131	0	12.906921	0	14	7	2.348556	1.930365	5.402453	3.225547	0	0
conventional	ce349	131	0	19.949108	0	14	7	1.263501	6.315418	3.574885	8.795304	0	0
conventional	ce350	131	0	28.512566	0	14	7	5.899191	6.093939	5.888887	10.630549	0	0
holistic	he295	132	0	0	0	0	2	0	0	0	0	0	0
conventional	ce351	132	0	20.774581	0	14	7	2.918719	1.895183	8.904073	7.056606	0	0
conventional	ce352	132	0	22.794982	0	14	7	4.908303	1.449225	8.974621	7.462833	0.748024	0
conventional	ce353	133	0	15.844593	0	14	7	4.040569	2.896414	5.328647	3.578963	0.907766	0
holistic	he296	134	0	0.459276	0	4	8	0	0	0.459276	0	0	0
conventional	ce354	134	0	24.150166	0	14	7	2.555285	4.041842	9.287124	8.265915	0	0
conventional	ce355	134	0	21.218800	0	14	7	3.610183	2.483763	7.913760	7.211094	0	0
conventional	ce356	134	0	17.146221	0	14	7	6.285775	1.265044	6.406020	3.189382	0	0
conventional	ce357	134	0	22.389549	0	14	7	2.413184	3.708488	10.670413	5.597464	0	0
conventional	ce358	134	0	21.652709	0	14	7	3.246245	1.895468	9.039313	7.471683	0	0
conventional	ce359	134	0	19.763860	0	14	7	1.310980	3.243029	10.422075	4.787776	0	0
holistic	he297	135	0	0	0	0	7	0	0	0	0	0	0
holistic	he298	135	0	0	0	0	2	0	0	0	0	0	0
holistic	he299	135	0	0	0	0	3	0	0	0	0	0	0
conventional	ce360	136	0	23.699037	0	14	7	2.500797	3.709139	9.962197	7.526904	0	0
conventional	ce361	136	0	16.258651	0	14	7	1.089167	2.620372	5.667567	6.881545	0	0
conventional	ce362	136	0	17.644237	0	14	7	1.128794	2.319752	6.790480	7.405211	0	0
conventional	ce363	136	0	25.178072	0	14	7	3.030997	4.622064	11.506398	6.018613	0.224369	0
holistic	he300	137	0	0	0	0	2	0	0	0	0	0	0
conventional	ce364	137	0	25.229669	0	14	7	4.779437	1.325012	10.244350	8.880870	0.988866	0
holistic	he301	138	0	0	0	0	3	0	0	0	0	0.171763	0
conventional	ce365	139	0	24.315536	0	14	7	3.150784	2.002029	11.586745	7.575978	0	0
conventional	ce366	139	1.683125	18.146388	1	14	7	2.261081	1.899013	7.719516	6.266778	0	0
conventional	ce367	139	0	13.838267	0	14	7	0.815063	2.551447	7.303674	3.168083	0	0
holistic	he302	140	0	0	0	0	1	0	0	0	0	0	0
conventional	ce368	140	0	32.901817	0	14	7	5.660599	5.596567	14.647017	6.997634	0	0
conventional	ce369	140	0	24.997364	0	14	7	4.080401	3.623197	10.000829	7.292937	0	0
conventional	ce370	141	0	11.551157	0	14	7	0.475521	2.401593	5.346460	3.327583	0.224369	0
conventional	ce371	141	0.047570	24.535352	1	14	7	1.355133	8.491615	9.068863	5.619741	0	0
