generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
133	1498253456		0.540747	0.470551	1.507328	12	15.340000	0.668568	0.527800	0.215400	5	15.337000				
134	469213791		0.520786	0.477975	1.785244	12	15.340000	0.715553	0.420217	0.265068	5	15.337000				
135	191940732		0.511990	0.467546	1.785244	12	15.340000	0.585173	0.486919	0.759283	5	15.337000	0.373459	3	47	50
136	557873792		0.500959	0.475055	1.774800	12	15.340000	0.919710	0.489283	0.065311	5	15.337000				
137	1502494116		0.500959	0.475383	1.774800	12	15.340000	0.747289	0.410325	0.127407	5	15.337000				
138	1578853134		0.500959	0.468030	1.774800	12	15.340000	0.819642	0.488774	0.146970	5	15.337000				
139	1865870159		0.504282	0.473251	1.760172	12	15.340000	0.777284	0.384490	0.391118	5	15.337000				
140	874497531		0.560512	0.475702	1.394066	12	15.340000	0.927224	0.360471	0.382401	5	15.337000	0.385337	12	38	50
141	2037701185		0.647787	0.523974	1.779925	12	15.340000	0.950395	0.455808	0.070141	5	15.337000				
142	1808805943		0.812921	0.564435	1.961596	12	15.340000	0.797114	0.473706	0.336188	5	15.337000				
143	1827206037		0.505355	0.480322	1.961597	12	15.340000	1.000000	0.618857	2.288756	5	15.337000				
144	1868464916		0.500532	0.474023	1.961597	12	15.340000	0.759751	0.605242	0.499938	5	15.337000				
145	474619466		0.590778	0.489377	1.358767	12	15.340000	0.882565	0.361359	0.190228	5	15.337000	0.349397	2	48	50
146	1080444008		0.660857	0.560976	2.000073	12	15.340000	0.935591	0.567009	0.049215	5	15.337000				
147	160052064		0.513771	0.495426	1.881102	12	15.340000	0.788254	0.525098	0.134375	5	15.337000				
148	1042709980		0.516889	0.486725	1.967928	12	15.340000	0.825888	0.468328	1.465592	5	15.337000				
149	929875243		0.559287	0.506247	1.550711	12	15.340000	0.841905	0.524895	0.481957	5	15.337000				
150	1255575434		0.601583	0.470955	2.007921	12	15.340000	0.853557	0.502305	0.379935	5	15.337000	0.234933	3	47	50
151	1269912041		0.534526	0.497401	1.748531	10	15.340000	0.910972	0.558793	0.267586	5	15.337000				
152	69010802		0.765792	0.500029	0.650917	10	15.340000	0.818105	0.561389	0.319969	5	15.337000				
153	991100392		0.666793	0.477133	1.180696	12	15.340000	0.934772	0.412650	0.075609	5	15.337000				
154	353726842		0.524065	0.357023	1.081571	10	15.340000	0.842449	0.353829	0.181970	5	15.337000				
155	763327651		0.802403	0.476700	0.712051	10	15.340000	0.770393	0.359612	0.334985	5	15.337000	0.394311	17	33	50
