generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
173	1292028089		0.578750	0.459524	1.032723	2	15.093000	0.886325	0.508712	0.102851	5	15.337000				
174	177581752		0.634579	0.436765	0.856680	2	15.340000	0.925561	0.471552	1.296368	5	15.337000				
175	1153817222		0.800956	0.443896	0.537095	2	15.093000	0.628723	0.518890	0.332703	5	15.337000	0.289359	0	50	50
176	900629173		0.652587	0.460318	0.965349	2	14.761000	0.883852	0.435226	0.085438	5	15.337000				
177	1328966065		0.595781	0.407107	0.853901	2	14.761000	0.622544	0.505728	0.859119	5	15.337000				
178	506489853		0.843233	0.395277	0.368513	2	14.761000	0.766937	0.449428	0.168183	5	15.337000				
179	704081802		0.601967	0.420628	0.629307	2	14.761000	0.965813	0.483369	0.016098	5	15.337000				
180	118099231		0.704459	0.537323	0.951736	2	14.761000	0.748487	0.531578	0.179804	5	15.337000	0.383986	6	44	50
181	4462285		0.538961	0.362052	1.915193	7	15.340000	0.899410	0.419484	0.042317	5	15.337000				
182	386066920		0.615511	0.442069	1.191279	2	15.093000	0.720596	0.450054	0.478364	5	15.337000				
183	899016325		0.567041	0.495373	1.540955	2	15.093000	0.780892	0.499316	0.185017	5	15.337000				
184	1652353212		0.558282	0.462873	1.242977	2	15.340000	0.867850	0.581036	0.209814	5	15.337000				
185	101100482		0.565162	0.427124	1.060999	2	15.340000	0.810407	0.511929	0.380391	5	15.337000	0.377837	14	36	50
186	670087483		0.653050	0.395797	0.710556	2	15.340000	0.964132	0.571484	0.052591	5	15.337000				
187	361526093		0.599874	0.358325	0.701054	2	15.340000	0.917425	0.480218	0.037565	5	15.337000				
188	1819575412		0.798983	0.435489	0.351818	2	15.340000	0.837615	0.546310	0.104498	5	15.337000				
189	1833674167		0.744944	0.284722	0.388049	2	15.340000	0.903522	0.498313	0.116614	5	15.337000				
190	477370923		0.678884	0.360341	0.629912	2	15.340000	0.842232	0.475870	0.098758	5	15.337000	0.377162	8	42	50
191	1219794593		0.814401	0.410807	0.309077	2	15.340000	0.954078	0.466372	0.056520	5	15.337000				
192	1546101406		0.664640	0.192330	0.358924	2	15.340000	0.860325	0.454199	0.098258	5	15.337000				
193	2008720994		0.824632	0.190859	0.346829	2	15.340000	0.858752	0.517138	0.112074	5	15.337000				
194	16373375		0.592111	0.261908	0.364176	2	15.340000	0.898049	0.555788	0.132640	5	15.337000				
195	1836695584		0.741742	0.211050	0.327919	2	15.340000	0.862481	0.450976	0.087096	5	15.337000	0.191673	0	50	50
196	1712783168		0.695015	0.415945	0.390425	2	15.340000	0.861180	0.513956	0.157865	5	15.337000				
197	1436345112		0.672500	0.337456	0.415410	2	15.340000	0.733565	0.279925	0.219352	5	15.337000				
198	1829705736		0.801372	0.355222	0.359644	2	15.340000	0.963750	0.490562	0.043661	5	15.337000				
199	1799145707		0.624016	0.387856	0.826577	2	15.340000	1.000000	0.837193	1.428256	5	15.337000				
200	787679905		0.716068	0.526205	1.276289	4	15.340000	0.903397	0.404256	0.050794	5	15.337000	0.218775	1	49	50
201	1313674017		0.734267	0.526767	0.623100	2	15.340000	0.987327	0.476558	0.478947	5	15.337000				
202	1751692751		0.695383	0.414162	0.620079	2	14.622000	0.784266	0.353854	0.126304	5	15.337000				
203	61916130		0.770818	0.365423	0.236462	2	15.340000	0.849642	0.271471	0.119330	5	15.337000				
204	302553383		0.820896	0.416169	0.290753	2	15.340000	1.000000	0.472046	1.128245	5	15.337000				
205	137677919		0.748992	0.383521	0.815383	2	15.340000	1.000000	0.419273	1.174587	5	15.337000	0.464596	24	26	50
206	1431571476		0.511218	0.297711	0.588298	2	15.340000	0.844155	0.509582	4.113322	5	15.337000				
207	1640189493		0.627670	0.385432	0.702027	2	15.340000	1.000000	0.757036	0.295569	5	15.337000				
208	365588520		0.849428	0.499827	0.788848	2	15.340000	0.800445	0.420004	0.295786	5	15.337000				
209	903389646		0.657700	0.331529	0.476655	2	15.340000	0.993056	0.642367	0.129441	5	15.337000				
210	1584810122		0.580381	0.342398	0.477563	2	14.590000	0.893325	0.480493	0.056737	5	15.337000	0.324013	10	40	50
211	256939200		0.720490	0.456120	0.598206	2	15.340000	0.945418	0.391819	0.083163	5	15.337000				
212	1630831637		0.660574	0.435179	0.899293	2	15.340000	0.806291	0.474503	0.196725	5	15.337000				
213	1876086396		0.630369	0.377252	0.624849	2	15.340000	0.901973	0.395313	0.086392	5	15.337000				
214	1871454455		0.785568	0.360742	0.405406	2	15.340000	0.887622	0.275951	0.147454	5	15.337000				
215	2105676235		0.663797	0.390472	0.745296	2	15.340000	1.000000	0.513282	1.365951	5	15.337000	0.414254	13	37	50
216	2033089267		0.738811	0.371371	0.332034	2	14.985000	0.911690	0.545433	0.110680	5	15.337000				
217	1945639925		0.729652	0.381466	0.648468	2	14.985000	0.754357	0.428567	0.224042	5	15.337000				
218	496174836		0.744924	0.317439	0.403283	2	14.985000	0.962562	0.546737	0.702277	5	15.337000				
219	566763996		0.534869	0.443862	1.383539	2	15.340000	1.000000	0.657638	0.838609	5	15.337000				
220	1527670295		0.610468	0.447432	0.914315	4	15.340000	0.928643	0.648913	0.141121	5	15.337000	0.253477	4	46	50
221	1268491507		0.678614	0.436698	0.872262	2	15.340000	0.981774	0.367419	0.025737	5	15.337000				
222	1634067359		0.672589	0.375338	0.378027	4	15.340000	0.792781	0.373461	0.486081	5	15.337000				
223	1356717792		0.520671	0.370908	1.049036	4	15.340000	0.994647	0.537992	0.358348	5	15.337000				
224	1245300160		0.640469	0.453944	1.019061	11	15.340000	0.952781	0.388689	0.066222	5	15.337000				
225	145249198		0.747728	0.463499	1.133947	11	15.340000	0.781760	0.439509	0.098154	5	15.337000	0.207235	5	45	50
226	632467079		0.747894	0.473134	0.529127	14	15.340000	0.898857	0.376829	0.153446	5	15.337000				
227	1581580763		0.675285	0.416392	1.234478	2	15.340000	0.800252	0.391483	0.348315	5	15.337000				
228	664329928		0.687163	0.478463	1.405374	13	15.340000	0.841673	0.573236	0.584763	5	15.337000				
229	576072868		0.630520	0.483061	1.396960	2	15.340000	0.829405	0.508195	0.320045	5	15.337000				
230	1998930549		0.546229	0.406694	1.396922	2	15.340000	0.976791	0.639385	0.060139	5	15.337000	0.127941	2	48	50
231	11113780		0.856390	0.546657	1.152246	13	15.340000	0.841774	0.413996	0.067896	5	15.337000				
232	1553707804		0.648553	0.503699	0.919911	2	15.340000	0.968118	0.386879	0.605158	5	15.337000				
233	1429986959		0.845489	0.520926	1.106602	2	15.340000	0.972453	0.631929	0.544063	5	15.337000				
234	1503868384		0.678637	0.528444	1.572099	7	15.340000	0.537089	0.487387	1.069367	5	15.337000				
235	1981031393		0.640000	0.529221	1.452539	9	15.340000	0.866408	0.465648	0.073659	5	15.337000	0.343922	9	41	50
236	1682657200		0.698763	0.529573	1.835186	2	15.340000	0.941946	0.591803	0.322095	5	15.337000				
237	2045853851		0.683764	0.475798	0.921731	2	15.340000	0.966910	0.583331	0.024746	5	15.337000				
238	666777965		0.596229	0.470419	1.443077	2	15.340000	0.692945	0.541535	0.613723	5	15.337000				
239	89258891		0.803171	0.477877	0.792684	2	15.340000	1.000000	0.665996	0.744134	5	15.337000				
240	217162493		0.599336	0.429179	1.717310	2	15.340000	1.000000	0.538739	0.512990	5	15.337000	0.368975	10	40	50
241	1258195901		0.942346	0.471622	0.104004	2	15.340000	1.000000	0.455822	1.527297	5	15.337000				
242	1947991401		0.757100	0.498854	0.672236	2	15.340000	0.944948	0.611499	0.087740	5	15.337000				
243	1930527009		0.678570	0.393736	0.533225	2	15.340000	0.868702	0.489376	0.058464	5	15.337000				
244	1732811151		0.612343	0.390340	1.899678	9	15.340000	0.843587	0.466910	0.071821	5	15.337000				
245	1331485128		0.638872	0.486535	1.927964	9	15.340000	0.665157	0.384285	0.227393	5	15.337000	0.232968	3	47	50
246	2076620528		0.781108	0.505748	0.543586	7	15.340000	0.813872	0.455750	0.091306	5	15.337000				
247	1280965093		0.651827	0.522779	2.009236	16	15.340000	0.966805	0.420246	0.036120	5	15.337000				
248	1201513833		0.624777	0.485048	1.209624	5	15.340000	0.945667	0.319930	0.094318	5	15.337000				
249	1374990043		0.526720	0.431201	1.660363	5	15.340000	0.554016	0.489289	1.114337	5	15.337000	0.413625	5	45	50
