population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
conventional	c0-1	-2	0	22.326151	0	14	7	2.200538	1.753490	11.469856	6.902267	0	0
conventional	c0-2	-31	0	35.598528	0	14	7	6.087606	5.879296	12.814388	10.817238	0	0
conventional	c0-3	-46	0	45.894830	0	14	7	3.719850	11.505608	15.766499	14.902873	0	0
conventional	c0-4	-34	0	17.814410	0	14	7	4.239047	2.015143	7.092411	4.467809	0	0
conventional	c0-5	-13	0	21.630372	0	14	7	3.275429	2.146613	8.250545	7.957785	0	0
conventional	c0-6	-48	0	28.510594	0	14	7	3.080786	6.496819	12.843950	6.089039	0	0
conventional	c0-7	-59	0	28.086173	0	14	7	2.263579	3.374338	11.839070	10.609186	0	0
conventional	c0-8	-35	0	23.046823	0	14	7	3.092535	2.971817	9.398710	7.583761	0	0
conventional	c0-9	-2	0	28.348409	0	14	7	0.899701	5.870178	13.318794	8.259736	0	0
conventional	c0-10	-45	0	24.816168	0	14	7	4.213287	1.534110	10.025630	9.043141	0	0
conventional	c0-11	-45	0	29.817276	0	14	7	4.649818	2.541154	15.252090	7.374214	0	0
conventional	c0-12	-50	0	28.433023	0	14	7	5.561873	5.824277	10.424386	6.622487	0	0
conventional	c0-13	-12	0	18.988747	0	14	7	1.248187	2.944816	6.024293	8.771451	0	0
conventional	c0-14	-14	0	17.835708	0	14	7	4.648864	2.060999	8.837485	2.288360	0	0
conventional	c0-15	-21	0	23.923900	0	14	7	3.972589	3.680124	9.459119	6.812068	0	0
conventional	c0-16	-16	0	19.980433	0	14	7	3.414179	4.161905	6.203318	6.201031	0	0
conventional	c0-17	-26	0	42.426701	0	14	7	2.817827	15.962937	11.915960	11.729977	0	0
conventional	c0-18	-51	0	25.210633	0	14	7	5.142885	0.770324	13.570021	5.727403	0	0
conventional	c0-19	-20	0	26.345111	0	14	7	4.322106	1.344697	11.815733	8.862575	0	0
conventional	c0-20	-29	0	25.854055	0	14	7	4.637507	2.406592	14.544917	4.265039	0	0
conventional	c0-21	-39	0	32.760701	0	14	7	3.433923	7.433259	13.696624	8.196895	0	0
conventional	c0-22	-33	0	31.039405	0	14	7	6.586145	2.415660	15.540098	6.497502	0	0
conventional	c0-23	-24	0	22.787732	0	14	7	3.950559	0.611171	13.262774	4.963228	0	0
conventional	c0-24	-5	0	47.115529	0	14	7	3.668945	7.322562	26.381033	9.742989	0	0
conventional	c0-25	-39	0	30.680268	0	14	7	7.207526	3.783444	16.284343	3.404955	0	0
conventional	c0-26	-40	0	38.313354	0	14	7	4.368980	3.969744	17.119604	12.855026	0	0
conventional	c0-27	-10	0	25.359462	0	14	7	1.381753	3.619912	12.146355	8.211442	0	0
conventional	c0-28	-5	0	31.697633	0	14	7	1.304176	5.165774	15.969900	9.257783	0	0
conventional	c0-29	-21	0	24.534586	0	14	7	2.095255	3.002612	10.804926	8.631793	0	0
conventional	c0-30	-15	0	38.244129	0	14	7	1.028805	4.482139	20.339190	12.393995	0	0
conventional	c0-31	-32	0	18.053731	0	14	7	1.183669	1.061259	9.075960	6.732843	0	0
conventional	c0-32	-5	0	18.739007	0	14	7	2.372849	2.362382	9.101254	4.902522	0	0
conventional	c0-33	-36	0	29.251068	0	14	7	2.470756	3.150054	17.271223	6.359035	0	0
conventional	c0-34	-27	0	43.407036	0	14	7	3.434800	9.975249	21.390765	8.606222	0	0
conventional	c0-35	-56	0	33.175708	0	14	7	1.771298	3.956459	21.818731	5.629220	0	0
conventional	c0-36	-40	0	21.475398	0	14	7	3.094697	2.884940	8.698260	6.797501	0	0
conventional	c0-37	-54	0	11.054978	0	14	7	2.053323	2.234095	4.208100	2.559460	0	0
conventional	c0-38	-47	0	17.051626	0	14	7	0.935788	4.872211	7.198921	4.044706	0	0
conventional	c0-39	-26	0	36.591408	0	14	7	5.407066	4.522608	16.958532	9.703202	0	0
conventional	c0-40	-28	0	35.646473	0	14	7	4.146000	1.364922	21.264309	8.871242	0	0
conventional	c0-41	-13	0	34.438250	0	14	7	6.196989	1.898656	14.191410	12.151195	0	0
conventional	c0-42	-54	0	34.232729	0	14	7	6.854706	1.325290	22.813989	3.238744	0	0
conventional	c0-43	-55	0	27.786644	0	14	7	2.725231	2.349367	15.087687	7.624359	0	0
conventional	c0-44	-11	0	20.453429	0	14	7	1.431232	3.172460	6.725371	9.124366	0	0
conventional	c0-45	-14	0	31.011341	0	14	7	4.559032	2.899217	10.238972	13.314120	0	0
conventional	c0-46	-16	0	35.720823	0	14	7	4.095294	1.235676	18.155477	12.234376	0	0
conventional	c0-47	-47	0	17.397582	0	14	7	5.131474	2.691167	5.508662	4.066279	0	0
conventional	c0-48	-46	0	38.134221	0	14	7	5.496342	7.130393	14.651866	10.855620	0	0
conventional	c0-49	-59	0	32.042585	0	14	7	2.075729	4.605898	18.148655	7.212303	0	0
conventional	c0-50	-6	0	20.034552	0	14	7	5.700285	4.625207	3.844129	5.864931	0	0
conventional	c0-51	-23	0	19.475063	0	14	7	1.962565	3.897112	7.614036	6.001350	0	0
conventional	c0-52	-49	0	22.266469	0	14	7	2.388728	2.597517	8.413181	8.867043	0	0
conventional	c0-53	-26	0	15.821032	0	14	7	1.267369	1.795336	9.115941	3.642386	0	0
conventional	c0-54	-43	0	29.788721	0	14	7	5.564469	4.364666	15.402306	4.457280	0	0
conventional	c0-55	-13	0	26.660660	0	14	7	6.292715	1.449586	5.877412	13.040947	0	0
conventional	c0-56	-56	0	32.420299	0	14	7	4.343944	1.748380	18.487819	7.840156	0	0
conventional	c0-57	-6	0	24.619809	0	14	7	4.543355	1.851151	11.979873	6.245430	0	0
conventional	c0-58	-58	0	15.410096	0	14	7	3.793154	1.390818	3.843728	6.382396	0	0
conventional	c0-59	-40	0	26.200878	0	14	7	2.390020	3.247986	13.155730	7.407142	0	0
holistic	he63	1	0	0	0	0	0	0	0	0	0	0	0
conventional	ce61	1	0	31.238374	0	14	7	3.392759	1.445212	19.909864	6.490539	0	0
conventional	ce62	1	0	19.308836	0	14	7	2.265042	2.371209	9.091582	5.581003	0	0
holistic	he64	2	3.765243	6.541842	3	3	10	0	0	6.541842	0	0	0
conventional	ce63	2	0	26.549196	0	14	7	1.409769	3.701904	12.505296	8.932227	0	0
conventional	ce64	2	0	19.179122	0	14	7	5.475271	2.037174	9.379972	2.286705	0	0
conventional	ce65	2	0	22.349695	0	14	7	1.692030	2.741702	11.351147	6.564816	0	0
conventional	ce66	2	0	27.507877	0	14	7	2.421343	3.413573	12.992580	8.680381	0	0
conventional	ce67	2	0	28.253526	0	14	7	5.830216	1.329421	13.248926	7.844963	0	0
holistic	he65	3	0	16.270079	0	44	11	2.493450	2.343290	11.433339	0	0	0
conventional	ce68	3	0	16.578859	0	14	7	0.801758	1.129127	9.744407	4.903567	0	0
conventional	ce69	3	0	13.088409	0	14	7	2.461661	2.498034	4.648089	3.480625	0	0
conventional	ce70	3	0	32.348835	0	14	7	2.074224	1.491690	20.459535	8.323386	0	0
conventional	ce71	3	0	27.985106	0	14	7	3.123313	4.525189	11.942699	8.393905	0	0
conventional	ce72	3	0	32.066655	0	14	7	1.687250	5.020333	15.234777	10.124295	0	0
conventional	ce73	3	0	19.681861	0	14	7	0.437897	0.198244	11.268107	7.777613	0	0
conventional	ce74	3	0	22.519081	0	14	7	3.469821	2.121897	10.321881	6.605482	0	0
holistic	he66	4	0	0	0	0	3	0	0	0	0	0.275299	0
holistic	he67	4	0	0	0	0	0	0	0	0	0	0	0
holistic	he68	4	0	0	0	0	8	0	0	0	0	0	0
conventional	ce75	4	0	33.113765	0	14	7	8.765434	3.808871	16.480839	4.058621	0	0
conventional	ce76	4	0	35.041828	0	14	7	5.751301	1.248084	20.049070	7.993373	0	0
conventional	ce77	4	0	12.303285	0	14	7	2.592703	2.438299	4.725848	2.546435	0	0
conventional	ce78	4	0	33.398879	0	14	7	6.318752	3.686247	17.379405	6.014475	0	0
conventional	ce79	4	0	25.568159	0	14	7	1.806900	4.121621	11.995952	7.643686	0	0
holistic	he69	5	0	0	0	0	3	0	0	0	0	0.275299	0
holistic	he70	5	0	0	0	0	0	0	0	0	0	0	0
conventional	ce80	5	0	30.497146	0	14	7	2.175399	2.833968	15.087736	10.400043	0	0
conventional	ce81	5	0	13.585802	0	14	7	2.853840	3.108301	4.439533	3.184128	0	0
conventional	ce82	5	1.314470	19.266394	1	14	7	0.946092	3.108107	7.812277	7.399918	0	0
conventional	ce83	5	0	19.307604	0	14	7	2.759398	0.662905	10.039037	5.846264	0	0
conventional	ce84	5	0	29.636197	0	14	7	5.578649	1.113666	16.434560	6.509322	0	0
conventional	ce85	5	0	16.068443	0	14	7	1.448972	0.884151	10.652816	3.082504	0	0
conventional	ce86	5	0	36.472010	0	14	7	4.616363	5.771937	19.251609	6.832101	0	0
conventional	ce87	5	0	14.637258	0	14	7	0.856219	0.279582	4.864728	8.636729	0.692078	0
holistic	he71	6	0	0	0	0	8	0	0	0	0	0.951179	0
holistic	he72	6	0	0	0	0	3	0	0	0	0	0.215396	0
holistic	he73	6	0	0	0	0	0	0	0	0	0	0	0
conventional	ce88	6	0	37.844245	0	14	7	4.816255	3.231632	16.734634	13.061724	0	0
conventional	ce89	6	0	36.202366	0	14	7	3.023478	5.433852	14.720514	13.024522	0	0
conventional	ce90	6	0	24.118613	0	14	7	4.156897	1.330122	6.014618	12.616976	0.671544	0
conventional	ce91	6	0	20.265940	0	14	7	1.461619	0.442402	10.684355	7.677564	0	0
conventional	ce92	7	0	20.056061	0	14	7	5.045240	2.089940	8.579738	4.341143	0	0
conventional	ce93	7	0	29.871500	0	14	7	7.091527	1.047125	13.246147	8.486701	0	0
holistic	he74	8	0	0	0	0	3	0	0	0	0	0.275299	0
holistic	he75	8	0	0	0	0	8	0	0	0	0	0	0
holistic	he76	8	0	0	0	0	8	0	0	0	0	0.951179	0
conventional	ce94	8	0	24.566562	0	14	7	5.543094	2.069988	10.565193	6.388287	0	0
conventional	ce95	8	0	52.606074	0	14	7	5.995652	17.492998	14.034641	15.082783	0	0
conventional	ce96	8	1.406702	22.080219	1	14	7	3.854313	2.685067	10.625887	4.914952	0	0
conventional	ce97	8	0	35.868117	0	14	7	6.312063	5.823721	14.094709	9.637624	0	0
conventional	ce98	8	0	30.745483	0	14	7	2.601646	3.205637	14.728981	10.209219	0	0
holistic	he77	9	0	0	0	0	3	0	0	0	0	0.099456	0
holistic	he78	9	0	0	0	0	8	0	0	0	0	0	0
holistic	he79	9	6.577568	54.120192	8	34	6	0	0	54.120192	0	0	0
conventional	ce99	9	0	24.292111	0	14	7	3.663094	3.222578	10.219715	7.186724	0	0
conventional	ce100	9	0	34.407027	0	14	7	3.828067	9.736646	13.959097	6.883217	0	0
conventional	ce101	9	0	17.914160	0	14	7	6.318050	2.042125	6.243329	3.310656	0	0
holistic	he80	10	0	0	0	0	8	0	0	0	0	0	0
holistic	he81	10	0	0	0	0	3	0	0	0	0	0.275299	0
conventional	ce102	10	0	27.575264	0	14	7	2.308889	5.457317	12.991029	6.818029	0	0
holistic	he82	11	0	0	0	0	3	0	0	0	0	0.275299	0
holistic	he83	11	0	0	0	0	3	0	0	0	0	0.275299	0
holistic	he84	11	0	0	0	0	8	0	0	0	0	0	0
holistic	he85	11	0	0	0	0	0	0	0	0	0	0	0
conventional	ce103	11	0	38.818475	0	14	7	4.712259	5.077419	22.798971	6.229826	0	0
conventional	ce104	11	0	22.430025	0	14	7	6.941712	1.645131	9.116954	4.726228	0	0
conventional	ce105	11	0	28.872062	0	14	7	3.272176	7.537850	13.016449	5.045587	0	0
holistic	he86	12	0	0	0	0	3	0	0	0	0	0.275299	0
holistic	he87	12	0	0	0	0	3	0	0	0	0	0.275299	0
holistic	he88	12	0	0	0	0	3	0	0	0	0	0.275299	0
conventional	ce106	12	0	30.327650	0	14	7	2.133884	4.443675	15.894633	7.855458	0	0
conventional	ce107	12	0	32.303966	0	14	7	5.947358	4.867929	11.034322	10.454357	0	0
conventional	ce108	12	0	29.569765	0	14	7	4.801434	1.685911	13.600358	9.482062	0	0
conventional	ce109	12	0	12.186547	0	14	7	2.759245	0.940871	5.379717	3.106714	1.302526	0
conventional	ce110	12	0	23.946939	0	14	7	3.881963	3.493384	12.823766	3.747826	0	0
holistic	he89	13	0	0	0	0	3	0	0	0	0	0.821510	0
holistic	he90	13	0	0	0	0	7	0	0	0	0	0.937935	0
holistic	he91	13	0	0	0	0	3	0	0	0	0	0.099456	0
holistic	he92	13	0	0	0	0	3	0	0	0	0	0.275299	0
conventional	ce111	13	0	23.692334	0	14	7	3.504520	0.754509	12.475182	6.958123	0	0
conventional	ce112	13	0	25.355007	0	14	7	3.302119	2.404238	11.229616	8.419034	0	0
conventional	ce113	13	0	25.396484	0	14	7	3.663344	3.081987	15.832600	2.818553	0	0
conventional	ce114	13	0	28.945221	0	14	7	2.407141	2.957017	13.885879	9.695184	0	0
holistic	he93	14	0	0	0	0	8	0	0	0	0	0.391272	0
