season	population	alive	energy_head	ran	starved	aged	net_survivors	net_all_ub	food	work
82	conventional	60	9.5497	55	4	1	1.1936	1.0981	1.6909	0.4973
83	holistic	60	23.3253	56	1	3	1.1379	1.1179	1.1786	0.0407
83	conventional	60	10.1018	59	0	1	0.9083	0.9083	1.4068	0.4985
84	holistic	60	21.0662	56	0	4	0.6052	0.6052	0.6429	0.0376
84	conventional	60	9.6326	58	1	1	0.4006	0.3901	0.9138	0.5132
85	holistic	60	20.4525	56	2	2	0.7158	0.6927	0.7500	0.0342
85	conventional	60	10.0140	60	0	0	0.6314	0.6314	1.1333	0.5020
86	holistic	60	18.5448	56	1	3	0.8231	0.8088	0.8571	0.0341
86	conventional	60	8.6861	56	2	2	0.8448	0.8197	1.3393	0.4945
87	holistic	60	17.6181	56	3	1	0.6628	0.6300	0.6964	0.0336
87	conventional	60	9.3794	60	0	0	0.9433	0.9433	1.4500	0.5067
88	holistic	60	16.2961	55	2	3	1.0035	0.9718	1.0364	0.0328
88	conventional	60	10.0489	59	1	0	0.9372	0.9195	1.4407	0.5035
89	holistic	60	15.8485	57	2	1	0.7404	0.7153	0.7719	0.0315
89	conventional	60	9.5421	58	0	2	0.5810	0.5810	1.0862	0.5052
90	holistic	60	16.3314	58	2	0	0.7573	0.7329	0.7931	0.0358
90	conventional	60	9.5930	59	1	0	0.3113	0.3009	0.8305	0.5192
91	holistic	60	15.4584	55	3	2	0.8585	0.8144	0.8909	0.0324
91	conventional	60	9.6896	57	1	2	0.8756	0.8629	1.3860	0.5103
92	holistic	60	13.9758	55	3	2	0.6748	0.6417	0.7091	0.0342
92	conventional	60	10.0865	59	1	0	0.6553	0.6469	1.1695	0.5142
93	holistic	60	11.8884	54	2	4	1.0787	1.0403	1.1111	0.0324
93	conventional	60	10.5103	58	1	1	1.1596	1.1287	1.6724	0.5128
94	holistic	60	12.3224	59	1	0	0.6956	0.6840	0.7288	0.0332
94	conventional	60	10.6812	58	1	1	0.9401	0.9263	1.4483	0.5082
95	holistic	60	11.7528	57	1	2	0.5214	0.5125	0.5614	0.0400
95	conventional	60	10.2864	56	2	2	0.6757	0.6454	1.1786	0.5029
96	holistic	60	9.7045	55	3	2	0.7807	0.7407	0.8182	0.0375
96	conventional	60	10.6281	58	2	0	0.6100	0.5917	1.1207	0.5107
97	holistic	60	9.0141	55	3	2	0.5097	0.4834	0.5455	0.0358
97	conventional	60	10.8180	58	1	1	0.5453	0.5344	1.0517	0.5064
98	holistic	60	9.3135	60	0	0	0.5493	0.5493	0.6000	0.0507
98	conventional	60	10.4088	56	2	2	0.1983	0.1787	0.6964	0.4982
99	holistic	60	9.1101	58	1	1	1.0040	0.9870	1.0517	0.0477
99	conventional	60	11.2441	60	0	0	1.0853	1.0853	1.6000	0.5147
100	holistic	60	9.4336	56	4	0	0.6109	0.5734	0.6607	0.0498
100	conventional	60	11.4247	58	2	0	0.4386	0.4306	0.9483	0.5097
101	holistic	60	10.0171	56	4	0	0.8903	0.8335	0.9286	0.0383
101	conventional	60	11.9190	57	3	0	0.8068	0.7444	1.2807	0.4739
102	holistic	60	10.7256	60	0	0	0.9584	0.9584	1.0000	0.0416
102	conventional	60	12.3151	60	0	0	0.6460	0.6460	1.1333	0.4873
103	holistic	60	10.9191	59	0	1	0.6906	0.6906	0.7288	0.0382
103	conventional	60	12.5884	59	0	1	0.7035	0.7035	1.1864	0.4829
104	holistic	60	11.9113	58	2	0	1.2849	1.2422	1.3276	0.0427
104	conventional	60	12.7703	59	0	1	1.2792	1.2792	1.7627	0.4835
105	holistic	60	12.6208	58	2	0	0.9907	0.9594	1.0345	0.0438
105	conventional	60	13.1750	60	0	0	0.6546	0.6546	1.1333	0.4787
106	holistic	60	13.0088	60	0	0	0.6380	0.6380	0.6833	0.0454
106	conventional	60	12.5947	57	2	1	0.4163	0.4054	0.8947	0.4784
107	holistic	60	13.8111	60	0	0	1.0523	1.0523	1.1000	0.0477
107	conventional	60	13.2671	59	1	0	0.9508	0.9224	1.4407	0.4899
108	holistic	60	14.2669	57	2	1	0.7438	0.7207	0.7895	0.0456
108	conventional	60	13.1994	59	0	1	0.3924	0.3924	0.8814	0.4890
109	holistic	60	14.6942	58	2	0	0.6971	0.6773	0.7414	0.0443
109	conventional	60	13.8535	60	0	0	0.9041	0.9041	1.4000	0.4959
110	holistic	60	15.1845	60	0	0	0.7403	0.7403	0.7833	0.0430
110	conventional	60	14.2354	60	0	0	0.6320	0.6320	1.1167	0.4847
111	holistic	60	15.7080	60	0	0	0.7735	0.7735	0.8167	0.0432
111	conventional	60	14.6797	60	0	0	0.6943	0.6943	1.1833	0.4891
112	holistic	60	16.2499	59	1	0	0.8054	0.7919	0.8475	0.0421
112	conventional	60	14.9797	59	0	1	0.6851	0.6851	1.1695	0.4844
113	holistic	60	15.6380	58	1	1	0.8992	0.8840	0.9483	0.0490
113	conventional	60	15.5993	58	2	0	0.9010	0.8696	1.3793	0.4783
114	holistic	60	16.3234	60	0	0	0.9355	0.9355	0.9833	0.0479
114	conventional	60	16.0823	60	0	0	0.7331	0.7331	1.2167	0.4836
115	holistic	60	17.3633	57	3	0	1.3508	1.2898	1.4035	0.0527
115	conventional	60	16.6902	60	0	0	0.8578	0.8578	1.3333	0.4755
116	holistic	60	17.5297	60	0	0	0.4164	0.4164	0.4667	0.0503
116	conventional	60	16.5691	59	1	0	0.1386	0.1290	0.6271	0.4885
117	holistic	60	17.1532	59	0	1	0.4943	0.4943	0.5424	0.0480
117	conventional	60	17.1224	60	0	0	0.8032	0.8032	1.2833	0.4801
118	holistic	60	17.4089	59	0	1	0.6814	0.6814	0.7288	0.0474
118	conventional	60	17.1968	59	0	1	0.4817	0.4817	0.9661	0.4844
119	holistic	60	17.7283	57	2	1	0.7769	0.7515	0.8246	0.0477
119	conventional	60	17.1093	57	1	2	0.7380	0.7166	1.2281	0.4901
120	holistic	60	16.4559	58	0	2	1.0357	1.0357	1.0862	0.0505
120	conventional	60	17.5114	59	1	0	0.6759	0.6522	1.1525	0.4766
121	holistic	60	16.0660	59	0	1	0.6902	0.6902	0.7458	0.0556
121	conventional	60	17.9740	60	0	0	0.7125	0.7125	1.2000	0.4875
122	holistic	60	16.8458	60	0	0	1.0298	1.0298	1.0833	0.0536
122	conventional	60	18.7425	59	1	0	1.0388	1.0185	1.5254	0.4866
123	holistic	60	17.3328	57	3	0	0.7763	0.7371	0.8246	0.0482
123	conventional	60	18.6030	59	0	1	0.5286	0.5286	1.0169	0.4883
124	holistic	60	17.4602	58	0	2	0.9297	0.9297	0.9828	0.0530
124	conventional	60	19.1197	59	1	0	0.7819	0.7667	1.2712	0.4892
125	holistic	60	17.7297	60	0	0	0.5195	0.5195	0.5667	0.0471
125	conventional	60	19.0616	58	1	1	0.5496	0.5435	1.0345	0.4849
